date,statement_id,true_hawk,ai_promptA,ai_promptB,ai_promptC,yield_change
2014-04-24,DOC_0040,0.4626,0.5927,0.2187,0.0898,3.53
2014-04-28,DOC_0041,-0.8653,-0.4501,-1.0919,-0.9097,-8.25
2014-04-30,DOC_0042,-0.3153,0.2147,-0.1804,-0.0674,-2.26
2014-05-02,DOC_0043,0.0427,0.4191,-0.2536,0.3686,-1.73
2014-05-06,DOC_0044,-0.2457,-0.2249,-0.4038,-0.3468,2.79
2014-05-08,DOC_0045,0.3557,0.5273,0.1454,0.6193,1.71
2014-05-12,DOC_0046,0.0022,0.0363,-0.1629,0.2444,5.38
2014-05-14,DOC_0047,0.0022,0.1212,-0.1357,0.1921,1.45
2014-05-16,DOC_0048,0.5081,0.5748,0.4831,0.2846,0.14
2014-05-20,DOC_0049,0.4932,0.4642,0.4311,0.6739,1.7
2014-05-22,DOC_0050,-0.1129,0.2705,-0.3951,0.2392,1.93
2014-05-26,DOC_0051,0.0401,0.1969,-0.3773,0.1894,-4.64
2014-05-28,DOC_0052,0.247,0.357,0.0128,0.3037,0.86
2014-05-30,DOC_0053,0.17,0.3331,0.0126,0.2512,-0.0
2014-06-03,DOC_0054,-0.0032,-0.0035,0.2609,0.1253,0.18
2014-06-05,DOC_0055,0.1762,0.1973,-0.1353,0.0971,-3.86
2014-06-09,DOC_0056,-0.3883,0.225,-0.3234,-0.1219,-2.84
2014-06-11,DOC_0057,-0.3983,0.0537,-0.5467,0.0946,7.31
2014-06-13,DOC_0058,-0.0855,0.1087,-0.2123,0.116,2.03
2014-06-17,DOC_0059,-0.2518,-0.0039,-0.5536,0.0146,-0.58
2014-06-19,DOC_0060,-0.1123,0.1749,-0.6019,-0.1845,1.51
2014-06-23,DOC_0061,0.8245,1.076,0.9524,0.8002,0.2
2014-06-25,DOC_0062,0.4035,0.6149,-0.0475,0.2403,4.04
2014-06-27,DOC_0063,0.1423,0.0944,0.0035,0.0031,1.87
2014-07-01,DOC_0064,0.4377,0.7018,0.1438,0.6566,0.54
2014-07-03,DOC_0065,-0.3084,0.3789,-0.7547,-0.5983,-0.71
2014-07-07,DOC_0066,-0.2327,0.148,-0.2154,-0.2334,1.1
2014-07-09,DOC_0067,0.123,0.0892,-0.1336,0.3611,-4.53
2014-07-11,DOC_0068,0.2527,0.7537,-0.0174,0.1897,2.18
2014-07-15,DOC_0069,-0.0692,-0.0243,-0.2805,0.2034,-3.93
2014-07-17,DOC_0070,0.3857,0.6781,-0.1797,0.5499,-0.69
2014-07-21,DOC_0071,0.2256,0.5281,0.3185,0.0003,5.14
2014-07-23,DOC_0072,0.5049,0.6559,0.4294,0.589,1.3
2014-07-25,DOC_0073,0.5491,0.5868,0.5254,0.6331,10.07
2014-07-29,DOC_0074,0.3901,0.5306,0.3963,0.1317,0.96
2014-07-31,DOC_0075,0.1683,0.318,0.1211,-0.0791,-3.9
2014-08-04,DOC_0076,0.7415,0.7417,0.5205,0.8233,2.96
2014-08-06,DOC_0077,0.0576,0.2256,-0.1641,-0.0032,0.73
2014-08-08,DOC_0078,-0.31,-0.3531,-0.3446,0.07,2.35
2014-08-12,DOC_0079,0.3977,0.6619,0.1259,0.5684,0.76
2014-08-14,DOC_0080,0.7121,0.9813,0.7069,0.9071,4.77
2014-08-18,DOC_0081,0.4113,0.7376,0.3483,0.7497,-0.27
2014-08-20,DOC_0082,0.2943,0.5653,0.5259,0.498,-0.27
2014-08-22,DOC_0083,-0.446,-0.2,-0.8477,-0.6337,-7.91
2014-08-26,DOC_0084,-0.0362,-0.2473,-0.4517,0.1966,-1.25
2014-08-28,DOC_0085,0.0668,0.6106,-0.0463,-0.2676,-1.75
2014-09-01,DOC_0086,-0.0781,0.1399,-0.2312,0.1096,1.66
2014-09-03,DOC_0087,0.2528,0.4768,0.2864,0.1958,0.18
2014-09-05,DOC_0088,0.0359,0.0764,-0.2825,0.0101,-3.27
2014-09-09,DOC_0089,0.4706,0.8438,0.5251,0.4607,4.93
2014-09-11,DOC_0090,0.7019,0.8686,0.7361,0.7782,3.86
2014-09-15,DOC_0091,0.1446,0.5054,0.3749,0.2031,1.22
2014-09-17,DOC_0092,0.0115,0.0963,-0.189,0.2817,0.45
2014-09-19,DOC_0093,0.5712,0.6897,0.5035,0.6056,5.59
2014-09-23,DOC_0094,0.1963,0.171,0.0033,0.2992,1.66
2014-09-25,DOC_0095,-0.014,0.2689,-0.2982,-0.0735,-3.83
2014-09-29,DOC_0096,0.705,0.7212,0.5004,0.7557,4.12
2014-10-01,DOC_0097,0.7481,0.7213,0.7145,0.7374,4.52
2014-10-03,DOC_0098,1.0,0.6495,0.9264,1.0088,8.65
2014-10-07,DOC_0099,0.2637,0.2591,0.1952,0.3405,5.89
2014-10-09,DOC_0100,0.3985,0.8524,0.2506,0.0426,3.27
2014-10-13,DOC_0101,0.0182,-0.0048,-0.3221,-0.0748,0.05
2014-10-15,DOC_0102,-0.6742,-0.7184,-0.9817,-0.6936,-6.89
2014-10-17,DOC_0103,-0.6557,-0.3939,-0.7423,-0.5838,-3.39
2014-10-21,DOC_0104,-0.6952,-0.6794,-0.8252,-0.6325,1.73
2014-10-23,DOC_0105,-0.315,-0.3437,-0.499,-0.3922,-2.28
2014-10-27,DOC_0106,-0.5375,-0.0331,-0.9341,-0.1342,-3.57
2014-10-29,DOC_0107,0.1753,0.2326,-0.1384,0.1706,3.22
2014-10-31,DOC_0108,0.2186,0.4654,0.2785,-0.0661,-1.87
2014-11-04,DOC_0109,0.3992,0.046,0.3573,0.3687,6.51
2014-11-06,DOC_0110,0.1819,0.4344,0.2468,-0.0883,0.57
2014-11-10,DOC_0111,-0.1335,0.0318,-0.134,-0.6101,2.42
2014-11-12,DOC_0112,0.0264,0.2426,-0.3365,0.2323,7.14
2014-11-14,DOC_0113,-0.1835,0.2297,-0.4272,-0.1365,0.47
2014-11-18,DOC_0114,0.3884,0.5068,0.155,0.2131,8.12
2014-11-20,DOC_0115,-1.0,-0.4055,-1.2383,-0.885,1.4
2014-11-24,DOC_0116,-1.0,-0.7737,-1.5,-0.8617,0.21
2014-11-26,DOC_0117,0.0122,0.209,0.0245,0.1521,4.64
2014-11-28,DOC_0118,0.9578,0.9164,0.9128,0.6319,2.76
2014-12-02,DOC_0119,0.5009,0.7646,0.1662,0.5009,6.93
2014-12-04,DOC_0120,0.7908,0.6684,0.8317,0.4282,4.5
2014-12-08,DOC_0121,0.6471,0.5699,0.5473,0.9306,8.91
2014-12-10,DOC_0122,0.9939,1.0675,1.1608,1.1453,7.06
2014-12-12,DOC_0123,0.8584,1.0332,0.7652,1.1579,3.36
2014-12-16,DOC_0124,0.5046,0.495,-0.032,0.3287,4.47
2014-12-18,DOC_0125,0.0649,0.374,-0.0597,0.0822,8.79
2014-12-22,DOC_0126,-0.9481,-0.7332,-1.353,-0.9219,-4.93
2014-12-24,DOC_0127,-0.4662,-0.0371,-0.8247,-0.243,-0.2
2014-12-26,DOC_0128,-0.2017,0.0694,-0.1788,-0.119,0.43
2014-12-30,DOC_0129,-0.1805,0.098,-0.1471,0.1413,2.74
2015-01-01,DOC_0130,0.1179,0.428,-0.1984,0.3126,4.23
2015-01-05,DOC_0131,-0.3929,0.0627,-0.5911,-0.1572,-4.6
2015-01-07,DOC_0132,-0.0538,0.1195,-0.0334,-0.2219,-2.95
2015-01-09,DOC_0133,0.3374,0.6102,0.1668,0.4542,0.22
2015-01-13,DOC_0134,-0.2848,0.0976,-0.1987,-0.3036,1.93
2015-01-15,DOC_0135,0.2823,0.0225,0.1319,-0.1813,3.24
2015-01-19,DOC_0136,-0.2333,0.2164,-0.401,-0.3224,-1.34
2015-01-21,DOC_0137,-0.4963,0.0609,-0.4265,-0.3925,-3.57
2015-01-23,DOC_0138,0.0105,0.1149,-0.2752,0.0684,1.03
2015-01-27,DOC_0139,0.1905,0.2578,0.1526,-0.1331,5.0
2015-01-29,DOC_0140,0.3915,0.4827,-0.0445,0.2191,-0.63
2015-02-02,DOC_0141,-0.058,0.2259,0.0267,-0.1834,2.51
2015-02-04,DOC_0142,-0.099,-0.005,-0.1754,-0.2396,0.59
2015-02-06,DOC_0143,0.5212,0.7213,0.4119,0.3316,1.29
2015-02-10,DOC_0144,0.6485,0.6616,0.7089,0.6754,-2.85
2015-02-12,DOC_0145,-0.2647,0.1243,-0.5694,0.0347,-2.14
2015-02-16,DOC_0146,0.2339,0.0747,0.3107,0.191,-0.54
2015-02-18,DOC_0147,0.3958,0.3986,0.3275,0.6539,0.1
2015-02-20,DOC_0148,-0.2448,-0.213,-0.257,-0.0587,-6.3
2015-02-24,DOC_0149,0.1532,0.2844,0.1059,0.4728,4.11
2015-02-26,DOC_0150,0.1668,0.4403,-0.376,-0.0245,5.27
2015-03-02,DOC_0151,0.006,0.1237,-0.1211,0.2363,4.04
2015-03-04,DOC_0152,-0.0786,0.0309,-0.2238,-0.1606,-0.98
2015-03-06,DOC_0153,-0.1304,0.2193,-0.255,-0.0221,-1.24
2015-03-10,DOC_0154,-0.1373,0.1719,-0.4174,-0.202,3.5
2015-03-12,DOC_0155,0.1974,0.2911,0.334,0.4807,2.91
2015-03-16,DOC_0156,0.3237,0.3103,0.4666,0.4223,1.24
2015-03-18,DOC_0157,0.1334,0.3695,0.0318,0.4401,-0.29
2015-03-20,DOC_0158,0.1479,0.2607,-0.2715,0.3062,-2.15
2015-03-24,DOC_0159,-1.0,-0.7793,-1.2632,-0.9687,-4.57
2015-03-26,DOC_0160,0.0103,0.0336,-0.25,0.1965,1.41
2015-03-30,DOC_0161,0.1985,-0.0458,0.1349,0.0837,-3.39
2015-04-01,DOC_0162,-0.1278,0.0507,-0.5322,0.3049,2.22
2015-04-03,DOC_0163,0.3265,0.4093,0.3265,0.4013,1.91
2015-04-07,DOC_0164,-0.503,-0.5349,-0.6656,-0.1733,3.17
2015-04-09,DOC_0165,-0.4703,0.0211,-0.5463,-0.2198,-3.45
2015-04-13,DOC_0166,-0.2737,0.2138,-0.5177,-0.1214,-2.88
2015-04-15,DOC_0167,0.1051,0.0435,-0.3453,0.3052,-2.87
2015-04-17,DOC_0168,0.5037,0.5608,0.6566,0.6958,0.55
2015-04-21,DOC_0169,0.5062,0.8287,0.5767,0.3809,-0.94
2015-04-23,DOC_0170,-0.1191,0.1084,-0.1185,-0.1276,1.78
2015-04-27,DOC_0171,-0.3997,-0.083,-0.5784,-0.2892,-1.47
2015-04-29,DOC_0172,-0.2337,0.4398,-0.3194,0.0107,-3.94
2015-05-01,DOC_0173,0.2698,0.4493,-0.0674,0.2673,-0.02
2015-05-05,DOC_0174,0.8688,1.0647,0.6886,0.7466,4.93
2015-05-07,DOC_0175,-0.4282,-0.2611,-0.1541,-0.3642,1.26
2015-05-11,DOC_0176,-0.2853,-0.0265,-0.5779,-0.0582,-1.5
2015-05-13,DOC_0177,-0.3118,-0.1422,-0.5345,-0.6235,-5.89
2015-05-15,DOC_0178,-0.2261,0.1701,-0.2602,-0.3827,1.24
2015-05-19,DOC_0179,-0.2531,0.2158,-0.3417,-0.2032,-0.61
2015-05-21,DOC_0180,-1.0,-0.6924,-1.5,-0.9861,-3.37
2015-05-25,DOC_0181,0.3267,0.4008,-0.0056,0.3425,-3.37
2015-05-27,DOC_0182,1.0,0.9774,0.9253,0.8113,3.94
2015-05-29,DOC_0183,-0.0114,0.1808,-0.2348,0.0086,2.47
2015-06-02,DOC_0184,-0.0878,0.1327,0.1472,0.1528,-1.67
2015-06-04,DOC_0185,-0.3654,0.0539,-0.4894,-0.5041,-2.45
2015-06-08,DOC_0186,-0.0467,0.4041,-0.3062,-0.0218,1.3
2015-06-10,DOC_0187,-0.0767,-0.1158,-0.4054,0.1514,-1.48
2015-06-12,DOC_0188,-0.3033,-0.1283,-0.3198,-0.0853,-7.16
2015-06-16,DOC_0189,-0.6272,-0.192,-1.2044,-0.4275,-3.21
2015-06-18,DOC_0190,-0.4859,-0.0319,-0.855,-0.2777,0.65
2015-06-22,DOC_0191,0.3094,0.4301,0.3103,0.4396,0.38
2015-06-24,DOC_0192,0.6066,0.854,0.7206,0.6759,4.83
2015-06-26,DOC_0193,0.4296,0.5526,0.51,-0.058,2.92
2015-06-30,DOC_0194,-0.285,0.0368,-0.8225,-0.2121,0.63
2015-07-02,DOC_0195,-0.1851,0.3775,-0.3199,-0.3955,-1.83
2015-07-06,DOC_0196,0.1948,0.1745,0.1804,0.5062,0.67
2015-07-08,DOC_0197,0.2735,0.6787,-0.1715,0.1378,1.69
2015-07-10,DOC_0198,0.347,0.6602,0.1212,0.6415,1.99
2015-07-14,DOC_0199,0.3916,0.5237,0.3264,0.5999,2.3
2015-07-16,DOC_0200,-0.8586,-0.8289,-1.4429,-0.6389,-3.76
2015-07-20,DOC_0201,0.707,1.0992,0.917,1.0548,7.3
2015-07-22,DOC_0202,0.0704,0.1895,-0.5452,0.2974,0.76
2015-07-24,DOC_0203,0.496,0.6861,0.7305,0.2089,0.69
2015-07-28,DOC_0204,0.62,0.7765,0.4751,0.3875,-0.22
2015-07-30,DOC_0205,0.6843,0.9039,0.3537,0.8693,2.54
2015-08-03,DOC_0206,0.0295,0.4264,-0.1461,0.359,-1.47
2015-08-05,DOC_0207,0.0515,0.0356,-0.4276,0.1251,1.71
2015-08-07,DOC_0208,-0.2198,0.1414,-0.2224,-0.0615,-1.79
2015-08-11,DOC_0209,0.2111,0.4262,0.2367,0.4428,1.2
2015-08-13,DOC_0210,-0.3275,-0.2229,-0.8525,-0.3535,-2.86
2015-08-17,DOC_0211,-0.0116,-0.3342,0.1437,0.1314,-1.94
2015-08-19,DOC_0212,0.649,0.6526,0.6485,0.5096,3.41
2015-08-21,DOC_0213,0.2533,0.4734,0.0376,0.4437,-0.45
2015-08-25,DOC_0214,0.0424,0.2969,-0.0998,-0.0971,2.34
2015-08-27,DOC_0215,-0.1521,0.2285,-0.4614,0.0592,4.43
2015-08-31,DOC_0216,0.5005,0.7987,0.0441,0.7145,-5.98
2015-09-02,DOC_0217,-0.1626,-0.2635,-0.0868,-0.3107,-3.79
2015-09-04,DOC_0218,0.0316,0.0688,-0.1353,-0.0507,-2.43
2015-09-08,DOC_0219,-0.1527,0.6261,-0.1672,-0.071,-0.57
2015-09-10,DOC_0220,-0.4029,0.01,-0.422,-0.4568,-0.6
2015-09-14,DOC_0221,-0.1435,-0.0153,-0.3202,-0.2381,4.27
2015-09-16,DOC_0222,-0.2007,0.2924,-0.2311,-0.2775,-1.39
2015-09-18,DOC_0223,-0.4191,-0.1638,-0.85,-0.4044,3.58
2015-09-22,DOC_0224,0.3928,0.6442,0.5187,0.2229,2.5
2015-09-24,DOC_0225,0.2759,0.5695,0.4847,0.189,-0.73
2015-09-28,DOC_0226,-0.1587,-0.3154,0.1645,-0.0504,3.04
2015-09-30,DOC_0227,-0.746,-0.3886,-0.9939,-0.6782,-0.7
2015-10-02,DOC_0228,0.2447,0.9459,0.2537,0.6774,0.62
2015-10-06,DOC_0229,0.0295,0.4054,0.3001,0.1799,4.78
2015-10-08,DOC_0230,0.1064,0.2951,-0.0291,0.222,4.3
2015-10-12,DOC_0231,0.2151,0.5955,-0.1052,-0.2477,2.55
2015-10-14,DOC_0232,0.6457,0.7952,0.6027,0.7694,5.02
2015-10-16,DOC_0233,0.8097,0.5245,1.1662,0.3765,-1.06
2015-10-20,DOC_0234,0.3786,0.5128,0.2246,0.0691,4.57
2015-10-22,DOC_0235,0.5056,0.4733,0.4178,0.7139,3.29
2015-10-26,DOC_0236,0.4943,0.6743,0.6625,0.5858,2.69
2015-10-28,DOC_0237,0.3511,0.3934,0.3736,0.2764,2.89
2015-10-30,DOC_0238,-0.056,0.0353,-0.6193,-0.0529,0.87
2015-11-03,DOC_0239,-0.5379,-0.4956,-0.8515,-0.5421,-2.0
2015-11-05,DOC_0240,-0.2974,-0.0664,-0.6898,-0.3384,1.51
2015-11-09,DOC_0241,-0.5637,-0.2333,-1.002,-0.2115,-2.71
2015-11-11,DOC_0242,-0.171,-0.1617,-0.3421,-0.1408,-4.57
2015-11-13,DOC_0243,-0.5822,-0.4171,-0.8448,-0.6352,-1.63
2015-11-17,DOC_0244,0.4559,0.5948,0.5696,0.4497,6.81
2015-11-19,DOC_0245,-0.3491,-0.1886,-0.5524,-0.3297,-5.16
2015-11-23,DOC_0246,0.8228,1.0235,0.549,0.7474,5.22
2015-11-25,DOC_0247,0.859,1.1922,0.7143,0.633,5.0
2015-11-27,DOC_0248,0.904,0.9346,1.0211,0.6588,4.83
2015-12-01,DOC_0249,0.3382,0.5946,0.1427,0.4058,3.58
2015-12-03,DOC_0250,-0.0027,0.1834,-0.2399,-0.0793,1.02
2015-12-07,DOC_0251,-0.0335,-0.0676,-0.1268,-0.1076,-2.79
2015-12-09,DOC_0252,0.2025,0.1846,0.013,0.1003,-0.48
2015-12-11,DOC_0253,-0.1223,0.602,-0.0607,-0.2593,-0.18
2015-12-15,DOC_0254,0.14,0.6018,-0.162,0.487,-3.28
2015-12-17,DOC_0255,0.0707,0.3246,-0.1852,0.1994,1.93
2015-12-21,DOC_0256,-0.111,-0.04,-0.0011,-0.1217,-5.48
2015-12-23,DOC_0257,-0.3259,-0.1789,-0.6426,-0.1239,-1.42
2015-12-25,DOC_0258,-0.6234,-0.1181,-0.6786,-0.5648,-2.34
2015-12-29,DOC_0259,-0.3337,-0.271,-0.3775,-0.1626,2.3
2015-12-31,DOC_0260,0.5076,0.5583,0.611,0.4902,5.13
2016-01-04,DOC_0261,0.1328,0.4002,-0.2873,0.1122,-1.36
2016-01-06,DOC_0262,-0.1494,0.2234,-0.1558,0.1258,-2.96
2016-01-08,DOC_0263,0.777,0.8753,0.942,1.0804,9.48
2016-01-12,DOC_0264,0.7264,0.8423,0.403,0.6258,1.51
2016-01-14,DOC_0265,0.2619,0.4295,0.2203,0.177,1.23
2016-01-18,DOC_0266,0.3176,0.6305,0.1242,0.2946,-0.04
2016-01-20,DOC_0267,1.0,1.2465,1.1117,0.7732,7.44
2016-01-22,DOC_0268,0.8056,0.699,0.6634,0.958,0.91
2016-01-26,DOC_0269,0.4241,0.802,0.0453,0.6369,7.49
2016-01-28,DOC_0270,0.3685,0.74,0.3446,-0.0228,4.84
2016-02-01,DOC_0271,-0.0118,0.1889,0.012,0.2019,3.96
2016-02-03,DOC_0272,-1.0,-0.8529,-1.1726,-1.0871,-11.21
2016-02-05,DOC_0273,-0.236,0.1023,-0.1727,-0.0821,2.32
2016-02-09,DOC_0274,0.2509,0.4847,0.3065,0.1131,3.84
2016-02-11,DOC_0275,0.7006,0.6888,0.6034,0.3111,3.79
2016-02-15,DOC_0276,0.7763,0.8231,1.1538,0.7916,2.81
2016-02-17,DOC_0277,-0.0727,0.0489,-0.2864,0.061,-5.02
2016-02-19,DOC_0278,0.2521,0.5636,0.3108,0.2331,3.96
2016-02-23,DOC_0279,-0.1514,0.1772,-0.3456,0.0092,1.24
2016-02-25,DOC_0280,-0.4058,-0.1783,-0.5633,-0.4343,-1.1
2016-02-29,DOC_0281,0.0868,0.2536,-0.0642,0.4693,3.97
2016-03-02,DOC_0282,0.3693,0.4903,0.0684,0.3425,2.15
2016-03-04,DOC_0283,0.751,0.8878,0.6966,0.7669,3.83
2016-03-08,DOC_0284,0.3799,0.9136,0.3286,0.4784,0.17
2016-03-10,DOC_0285,0.3618,0.53,0.1279,0.3929,-1.08
2016-03-14,DOC_0286,0.0518,0.2622,0.1865,0.0944,-1.41
2016-03-16,DOC_0287,-0.4925,-0.387,-0.8225,-0.0048,-4.12
2016-03-18,DOC_0288,-0.0345,-0.1917,-0.464,-0.1468,-2.58
2016-03-22,DOC_0289,0.3267,0.4905,0.2863,0.0944,1.82
2016-03-24,DOC_0290,1.0,0.895,1.147,1.218,5.15
2016-03-28,DOC_0291,0.8543,0.7062,0.7843,0.5509,1.43
2016-03-30,DOC_0292,-0.1168,0.114,-0.491,-0.1773,2.35
2016-04-01,DOC_0293,-0.4211,-0.0794,-0.7161,-0.4024,-4.42
2016-04-05,DOC_0294,-1.0,-0.7624,-1.4609,-0.9204,-5.33
2016-04-07,DOC_0295,-1.0,-0.8334,-0.9927,-0.8522,-2.27
2016-04-11,DOC_0296,-0.8407,-0.4034,-1.1236,-0.7804,-1.81
2016-04-13,DOC_0297,-0.7392,-0.4147,-1.5,-0.2451,-4.15
2016-04-15,DOC_0298,0.1779,0.3093,-0.2225,0.2406,2.57
2016-04-19,DOC_0299,-0.3196,-0.2823,-0.5254,-0.1768,-2.95
2016-04-21,DOC_0300,-0.1588,-0.1656,-0.4894,-0.3644,-4.98
2016-04-25,DOC_0301,-0.0511,0.4719,0.0241,0.1588,-0.72
2016-04-27,DOC_0302,0.7213,0.8155,0.7885,0.6922,1.93
2016-04-29,DOC_0303,0.8869,0.6212,0.9563,0.9125,3.59
2016-05-03,DOC_0304,-0.8051,-0.4545,-1.5,-0.9673,-8.17
2016-05-05,DOC_0305,-0.7489,-0.5914,-1.3102,-0.635,-6.69
2016-05-09,DOC_0306,0.5806,0.5605,0.3317,0.7624,4.73
2016-05-11,DOC_0307,-0.3092,-0.2628,-0.4315,-0.1565,4.55
2016-05-13,DOC_0308,0.0791,0.6553,-0.1415,0.2636,-1.24
2016-05-17,DOC_0309,0.3709,0.6762,0.4148,0.2325,5.94
2016-05-19,DOC_0310,0.5606,0.9104,0.6183,0.3993,0.44
2016-05-23,DOC_0311,-0.1737,0.4718,-0.6165,0.0974,0.46
2016-05-25,DOC_0312,-0.4647,-0.0252,-0.1101,-0.4126,-1.56
2016-05-27,DOC_0313,0.0832,0.3943,-0.4567,-0.137,0.07
2016-05-31,DOC_0314,0.4165,0.5414,0.5983,0.1539,-0.95
2016-06-02,DOC_0315,0.0499,0.4247,-0.058,0.1085,2.77
2016-06-06,DOC_0316,-0.1658,0.0548,-0.1269,-0.2283,-0.39
2016-06-08,DOC_0317,0.0533,0.3488,-0.1116,0.2072,1.71
2016-06-10,DOC_0318,0.7979,0.9249,0.7763,0.6982,2.93
2016-06-14,DOC_0319,-0.608,-0.4984,-0.7652,-0.536,-2.9
2016-06-16,DOC_0320,-0.6683,-0.5254,-0.9099,-0.3462,-2.07
2016-06-20,DOC_0321,-0.5431,-0.3145,-0.6941,-0.2254,-4.87
2016-06-22,DOC_0322,-0.7074,-0.2299,-1.009,-0.6918,-7.81
2016-06-24,DOC_0323,-1.0,-0.3077,-1.5,-0.7387,-11.55
2016-06-28,DOC_0324,-1.0,-0.7159,-1.5,-0.9575,-6.66
2016-06-30,DOC_0325,0.0027,0.4563,-0.0853,0.026,0.09
2016-07-04,DOC_0326,0.0569,0.2308,-0.128,0.0186,-2.73
2016-07-06,DOC_0327,0.4802,0.4578,0.3498,0.8906,1.77
2016-07-08,DOC_0328,0.6783,0.7952,0.7533,0.8747,1.94
2016-07-12,DOC_0329,-0.1351,-0.0277,-0.2769,-0.1749,-1.62
2016-07-14,DOC_0330,0.1898,0.3697,0.0863,0.0502,3.06
2016-07-18,DOC_0331,0.7799,0.7838,0.6449,0.8101,3.8
2016-07-20,DOC_0332,1.0,0.8217,1.037,0.8943,4.19
2016-07-22,DOC_0333,1.0,1.1042,0.9533,1.2127,5.36
2016-07-26,DOC_0334,0.1347,0.2311,-0.0045,0.667,-4.34
2016-07-28,DOC_0335,0.2335,0.5122,-0.2936,0.1884,10.17
2016-08-01,DOC_0336,0.1112,0.2619,-0.4248,0.1217,1.07
2016-08-03,DOC_0337,0.2689,0.7147,0.4079,0.3756,2.85
2016-08-05,DOC_0338,-0.2446,-0.1103,-0.4814,-0.3048,-0.16
2016-08-09,DOC_0339,-0.1099,0.4203,-0.2687,0.1629,4.09
2016-08-11,DOC_0340,0.6427,0.7826,0.2962,0.7174,0.11
2016-08-15,DOC_0341,0.0631,-0.0678,0.0939,0.0216,4.14
2016-08-17,DOC_0342,-0.1455,0.2263,-0.1755,-0.2257,-0.78
2016-08-19,DOC_0343,0.4776,0.229,0.1415,0.6542,0.92
2016-08-23,DOC_0344,-0.5853,-0.2655,-1.0072,-0.4984,-6.14
2016-08-25,DOC_0345,0.194,0.4552,-0.0611,0.1119,-0.65
2016-08-29,DOC_0346,-0.4728,-0.3217,-0.776,-0.584,-0.53
2016-08-31,DOC_0347,-0.06,0.1327,-0.292,-0.1211,6.44
2016-09-02,DOC_0348,-0.4615,-0.1745,-0.7381,-0.5229,-3.89
2016-09-06,DOC_0349,-0.2465,-0.3024,-0.4684,-0.1864,-0.5
2016-09-08,DOC_0350,-0.3598,-0.1926,-0.7086,0.3256,1.53
